time	inactive	active	F	W	F_bound	vWA_bound	IF_IFclustered	IW_IWclustered	IF_IWclustered	Sum	Experiment
1.3737373737373737e-05	4.0451533786333976e-07	1.691776059562216e-08	0.13001116069578142	0.3299892640382169	0.021205490913753667	6.394322946056594e-06	0.014389504684197111	1.3083919697121142e-09	4.339022053058664e-06	0.04999999669908246	day18
1.3898989898989898e-05	3.5449327171618086e-07	1.4833067877954483e-08	0.13001110860252535	0.32998926402471407	0.021205503150517876	6.3943287426852405e-06	0.014389524608592792	1.3083948020795692e-09	4.33902975355918e-06	0.04999999669908246	day18
1.406060606060606e-05	3.1076796302010707e-07	1.3010795205424021e-08	0.13001106306678237	0.32998926401287565	0.021205513846906297	6.394333830672209e-06	0.014389542024897346	1.308397286520758e-09	4.33903649899912e-06	0.049999996699082457	day18
1.4222222222222222e-05	2.7254677492650617e-07	1.1417909154669208e-08	0.13001102326309172	0.3299892640024921	0.021205523196822996	6.394338299221447e-06	0.014389557248829014	1.3083994668320505e-09	4.339042409600611e-06	0.049999996699082457	day18
1.4383838383838382e-05	2.391368486045185e-07	1.0025534587738135e-08	0.13001098846990256	0.32998926399338036	0.021205531369761964	6.3943422263077936e-06	0.014389570556363664	1.3084013812968059e-09	4.3390475904523685e-06	0.04999999669908245	day18
1.4545454545454545e-05	2.0993254324661747e-07	8.808431225673501e-09	0.13001095805649396	0.3299892639853802	0.021205538513881832	6.3943456800906635e-06	0.014389582188736554	1.3084030633793653e-09	4.3390521334145705e-06	0.049999996699082457	day18
1.4707070707070707e-05	1.84404455674621e-07	7.74453581279295e-09	0.1300109314715394	0.3299892639783518	0.021205544758689864	6.394348720148938e-06	0.01438959235681715	1.3084045423319341e-09	4.339056118784672e-06	0.049999996699082457	day18
1.4868686868686867e-05	1.620898240238748e-07	6.81456271553235e-09	0.1300109082331136	0.3299892639721728	0.021205550217391782	6.3943513985621e-06	0.014389601244930092	1.3084058437242741e-09	4.339059616751915e-06	0.049999996699082457	day18
1.503030303030303e-05	1.4258413955776122e-07	6.001653804055507e-09	0.1300108879199567	0.3299892639667363	0.021205554988942953	6.394353760854094e-06	0.014389609014196982	1.3084069899073306e-09	4.339062688669959e-06	0.04999999669908245	day18
1.5191919191919192e-05	1.2553409764299576e-07	5.291084962629764e-09	0.13001087016413337	0.3299892639619489	0.02120555915977223	6.394355846786133e-06	0.014389615805344291	1.308408000402911e-09	4.339065388126314e-06	0.049999996699082457	day18
